Land-Ocean: Global Means
Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,J-D,D-N,DJF,MAM,JJA,SON
1880,-.30,-.18,-.11,-.20,-.12,-.23,-.21,-.09,-.16,-.24,-.20,-.23,-.19,***,***,-.14,-.18,-.20
1881,-.16,-.18,.03,.03,.01,-.21,-.08,-.04,-.15,-.22,-.23,-.12,-.11,-.12,-.19,.02,-.11,-.20
1882,.13,.13,.03,-.20,-.17,-.27,-.22,-.06,-.11,-.26,-.17,-.25,-.12,-.11,.05,-.11,-.18,-.18
1883,-.32,-.40,-.14,-.18,-.21,-.13,-.09,-.16,-.21,-.15,-.23,-.17,-.20,-.21,-.32,-.17,-.13,-.20
1884,-.16,-.09,-.38,-.43,-.37,-.41,-.35,-.27,-.28,-.25,-.31,-.29,-.30,-.29,-.14,-.39,-.35,-.28
1885,-.60,-.31,-.26,-.43,-.43,-.45,-.36,-.32,-.24,-.20,-.20,-.06,-.32,-.34,-.40,-.37,-.38,-.22
1886,-.43,-.46,-.39,-.29,-.27,-.40,-.23,-.35,-.26,-.29,-.32,-.27,-.33,-.31,-.32,-.32,-.32,-.29
1887,-.73,-.53,-.35,-.39,-.33,-.25,-.24,-.33,-.24,-.34,-.25,-.35,-.36,-.35,-.51,-.36,-.27,-.27
1888,-.38,-.37,-.42,-.23,-.23,-.19,-.10,-.16,-.10,.01,.01,-.07,-.19,-.21,-.37,-.29,-.15,-.03
1889,-.12,.18,.07,.07,-.03,-.14,-.11,-.20,-.22,-.23,-.34,-.30,-.12,-.10,.00,.04,-.15,-.26
1890,-.45,-.45,-.40,-.37,-.46,-.27,-.27,-.39,-.40,-.25,-.48,-.32,-.38,-.38,-.40,-.41,-.31,-.38
1891,-.42,-.48,-.19,-.28,-.19,-.21,-.21,-.16,-.14,-.22,-.35,-.05,-.24,-.26,-.41,-.22,-.19,-.24
1892,-.29,-.12,-.36,-.35,-.25,-.24,-.33,-.26,-.13,-.13,-.42,-.39,-.27,-.24,-.15,-.32,-.28,-.23
1893,-.80,-.55,-.24,-.30,-.37,-.29,-.16,-.27,-.21,-.17,-.17,-.35,-.32,-.33,-.58,-.30,-.24,-.18
1894,-.54,-.34,-.25,-.48,-.35,-.44,-.26,-.22,-.25,-.21,-.26,-.20,-.32,-.33,-.41,-.36,-.31,-.24
1895,-.45,-.42,-.29,-.25,-.27,-.24,-.18,-.16,-.09,-.09,-.15,-.16,-.23,-.23,-.36,-.27,-.20,-.11
1896,-.26,-.15,-.26,-.31,-.19,-.14,-.04,-.04,-.03,.11,-.08,-.04,-.12,-.13,-.19,-.25,-.07,.00
1897,-.15,-.15,-.14,-.03,-.05,-.17,-.08,-.11,-.08,-.13,-.19,-.19,-.12,-.11,-.11,-.07,-.12,-.13
1898,-.03,-.29,-.52,-.34,-.32,-.21,-.24,-.25,-.22,-.34,-.39,-.25,-.28,-.28,-.17,-.39,-.24,-.31
1899,-.20,-.41,-.34,-.21,-.24,-.34,-.18,-.07,-.03,-.06,.11,-.28,-.19,-.18,-.29,-.26,-.20,.01
1900,-.38,-.03,.01,-.13,-.11,-.13,-.13,-.11,-.05,.08,-.10,-.08,-.10,-.11,-.23,-.08,-.12,-.02
1901,-.24,-.04,.08,-.04,-.17,-.13,-.16,-.20,-.22,-.31,-.17,-.28,-.16,-.14,-.12,-.04,-.16,-.23
1902,-.19,-.03,-.29,-.30,-.35,-.34,-.29,-.32,-.29,-.29,-.38,-.46,-.30,-.28,-.17,-.31,-.32,-.32
1903,-.25,-.03,-.24,-.42,-.44,-.46,-.37,-.48,-.48,-.48,-.45,-.52,-.39,-.38,-.25,-.37,-.44,-.47
1904,-.67,-.58,-.50,-.55,-.56,-.51,-.54,-.50,-.53,-.39,-.21,-.35,-.49,-.50,-.59,-.53,-.51,-.38
